sorting number	name	instance of	date of birth	date of death	sex	occupation or domain	geographic circles	Bibliotheque nationale de France Catalogue	data.bnf	Wikidata	ISNI	VIAF	Annuaire prosopographique : la France savante	In Who Was Who in Egyptology	Note
290	maire de Saint-Étienne	human	unknown	unknown	male	politician	France							no	Should be Étienne Moyse 
291	Maisonneuve (libraire)	human	unknown	unknown	male	publisher	unknown			https://www.wikidata.org/wiki/Q3280327	http://isni.org/isni/000000044672563X			no	
292	Malan, Solomon Caesar	human	1812	1894	male	linguist ; orientalist ; egyptologist	United Kingdom			https://www.wikidata.org/wiki/Q2654742				yes	
293	Maricourt (baron de)	human	1842	1902	male	military officer ; archaeologist ; curator ; historian	France	https://catalogue.bnf.fr/ark:/12148/cb10589454w	https://data.bnf.fr/ark:/12148/cb10589454w					no	From Vendôme (Loir-et-Cher)
294	Mariette, Auguste	human	1821	1881	male	egyptologist ; archaeologist ; curator	France ; Egypt	https://catalogue.bnf.fr/ark:/12148/cb12213258k	https://data.bnf.fr/ark:/12148/cb12213258k	https://www.wikidata.org/wiki/Q311850	http://isni.org/isni/0000000108628044	http://viaf.org/viaf/2521520	https://cths.fr/an/savant.php?id=101932	yes	
295	Bourcet, Martin	human	unknown	unknown	male	unknown	Saône-et-Loire ; France							no	From Tournus (Saône-et-Loire)
296	Maspero, Gaston	human	1846	1916	male	egyptologist ; folklorist ; archaeologist ; professor ; historian ; linguist ; orientalist	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb11914963d	https://data.bnf.fr/ark:/12148/cb11914963d	https://www.wikidata.org/wiki/Q311816	http://isni.org/isni/0000000115773186	http://viaf.org/viaf/89234658	https://cths.fr/an/savant.php?id=832	yes	
297	Massé, Alexandre	human	unknown	unknown	male	unknown	France							no	Publicist, directof of the Annuaire bibliographique de la province
298	Matthes, C.J./C.S.	human	unknown	unknown	male	unknown	Netherlands			https://www.wikidata.org/wiki/Q67198253 				no	From the Royal Netherlands Academy of Arts and Sciences (Amsterdam)
299	Mauchamps, P.	human	unknown	unknown	unknown	unknown	unknown							no	
300	Maury, Alfred	human	1817	1892	male	archaeologist ; archivist ; professor ; historian ; historian	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb119152793	https://data.bnf.fr/ark:/12148/cb119152793	https://www.wikidata.org/wiki/Q1972200	http://isni.org/isni/0000000121379812	http://viaf.org/viaf/68932704	https://cths.fr/an/savant.php?id=793	no	
301	Menand, Émile	human	unknown	unknown	male	lawyer	unknown							no	Lawyer
302	Méray, Charles	human	1835	1911	male	mathematician	France ; Saône-et-Loire	https://catalogue.bnf.fr/ark:/12148/cb12552143c	https://data.bnf.fr/ark:/12148/cb12552143c	https://www.wikidata.org/wiki/Q983977	http://isni.org/isni/0000000108158580	http://viaf.org/viaf/102388154		no	
303	Méray, Eugène	human	unknown	unknown	male	unknown	unknown							no	
304	Mézières, Alfred	human	1826	1915	male	politician ; writer ; historian	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb12425466s	https://data.bnf.fr/ark:/12148/cb12425466s	https://www.wikidata.org/wiki/Q2835365	http://isni.org/isni/0000000120956403	http://viaf.org/viaf/14861984	https://cths.fr/an/savant.php?id=110931	no	
305	Michelant, Henry	human	1811	1890	male	librarian ; historian ; writer	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb12459770f	https://data.bnf.fr/ark:/12148/cb12459770f	https://www.wikidata.org/wiki/Q1516979			https://cths.fr/an/savant.php?id=625#	no	
306	ministre de l'Instruction publique	position	unknown	unknown	male	politician	France ; Paris							no	
307	Ministère de l'Instruction publique	organisation	unknown	unknown	male	politician	France ; Paris							no	
308	Ministre d'État	position	unknown	unknown	male	unknown	unknown							no	
309	Ministre de France aux Pays-Bas	position	unknown	unknown	male	diplomat	France							no	
310	Ministre des Pays-Bas à Paris	human	1795	1873	male	politician ; diplomat ; lawyer	Netherlands			https://www.wikidata.org/wiki/Q1819131	http://isni.org/isni/0000000390857309	http://viaf.org/viaf/284607568		no	
311	Mission égyptienne en France	organisation	unknown	unknown	no	unknown	France ; Egypt ; Paris							no	
312	Mocquard, Jean-François [alors chef du cabinet de l'Empereur]	human	1791	1864	male	politician ; lawyer ; diplomat	France	https://catalogue.bnf.fr/ark:/12148/cb169689695	https://data.bnf.fr/ark:/12148/cb169689695	https://www.wikidata.org/wiki/Q3165782	http://isni.org/isni/0000000118053475	http://viaf.org/viaf/168990778		no	
313	Moigno, François	human	1804	1884	male	priest ; physicist ; theologian	France	https://catalogue.bnf.fr/ark:/12148/cb12109932w	https://data.bnf.fr/ark:/12148/cb12109932w					no	
314	Moïse (docteur de G. Lumbroso)	human	unknown	unknown	male	doctor	unknown							no	
315	Montessus de Ballore, Fernand Bernard	human	1851	1923	male	geologist ; writer ; military officer	France ; Saône-et-Loire	https://catalogue.bnf.fr/ark:/12148/cb12351790z	https://data.bnf.fr/ark:/12148/cb12351790z	https://www.wikidata.org/wiki/Q3069395	http://isni.org/isni/000000008081950X	http://viaf.org/viaf/2547059		no	
316	Montessus (docteur de)	human	1817	1899	male	doctor ; naturalist	France ; Saône-et-Loire	https://catalogue.bnf.fr/ark:/12148/cb10715301z	https://data.bnf.fr/ark:/12148/cb10715301z					no	
317	Moquin-Tandon, Gaston	human	unknown	unknown	male	unknown	unknown							no	Given in brackets by the catalogue
318	Mortier (pour M. Poitevin)	human	unknown	unknown	male	unknown	unknown							no	
319	Mortillet, Gabriel de	human	1821	1898	male	anthropologist ; archaeologist ; politician ; prehistorian ; professor	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb12776667g	https://data.bnf.fr/ark:/12148/cb12776667g	https://www.wikidata.org/wiki/Q740782	http://isni.org/isni/0000000121268290	http://viaf.org/viaf/32124281	https://cths.fr/an/savant.php?id=102939	no	
320	Motais, Alexandre (abbé)	human	unknown	unknown	male	priest	unknown							no	
321	Motais, Léon	human	unknown	unknown	male	unknown	unknown							no	
